1,1,1,Descripción de tarea A1,1,01/01/2024,02/01/2024,02/01/2024
2,1,2,Descripción de tarea A2,1,02/01/2024,03/01/2024,03/01/2024
3,1,3,Descripción de tarea A3,1,03/01/2024,04/01/2024,04/01/2024
4,1,4,Descripción de tarea A4,1,04/01/2024,05/01/2024,05/01/2024
5,1,5,Descripción de tarea A5,1,05/01/2024,06/01/2024,06/01/2024
6,1,1,Descripción de tarea A6,1,06/01/2024,07/01/2024,07/01/2024
7,1,2,Descripción de tarea A7,1,07/01/2024,08/01/2024,08/01/2024
8,1,3,Descripción de tarea A8,1,08/01/2024,09/01/2024,09/01/2024
9,1,4,Descripción de tarea A9,1,09/01/2024,10/01/2024,10/01/2024
10,1,5,Descripción de tarea A10,1,10/01/2024,11/01/2024,11/01/2024
11,2,6,Descripción de tarea B1,1,05/01/2024,06/01/2024,06/01/2024
12,2,7,Descripción de tarea B2,1,06/01/2024,07/01/2024,07/01/2024
13,2,8,Descripción de tarea B3,1,07/01/2024,08/01/2024,08/01/2024
14,2,9,Descripción de tarea B4,1,08/01/2024,09/01/2024,09/01/2024
15,2,10,Descripción de tarea B5,1,09/01/2024,10/01/2024,10/01/2024
16,2,6,Descripción de tarea B6,1,10/01/2024,11/01/2024,11/01/2024
17,2,7,Descripción de tarea B7,1,11/01/2024,12/01/2024,12/01/2024
18,2,8,Descripción de tarea B8,1,12/01/2024,13/01/2024,13/01/2024
19,2,9,Descripción de tarea B9,1,13/01/2024,14/01/2024,14/01/2024
20,2,10,Descripción de tarea B10,1,14/01/2024,15/01/2024,15/01/2024
21,3,11,Descripción de tarea C1,1,01/02/2024,02/02/2024,02/02/2024
22,3,12,Descripción de tarea C2,1,02/02/2024,03/02/2024,03/02/2024
23,3,13,Descripción de tarea C3,1,03/02/2024,04/02/2024,04/02/2024
24,3,14,Descripción de tarea C4,1,04/02/2024,05/02/2024,05/02/2024
25,3,15,Descripción de tarea C5,1,05/02/2024,06/02/2024,06/02/2024
26,3,11,Descripción de tarea C6,1,06/02/2024,07/02/2024,07/02/2024
27,3,12,Descripción de tarea C7,1,07/02/2024,08/02/2024,08/02/2024
28,3,13,Descripción de tarea C8,1,08/02/2024,09/02/2024,09/02/2024
29,3,14,Descripción de tarea C9,1,09/02/2024,10/02/2024,10/02/2024
30,3,15,Descripción de tarea C10,1,10/02/2024,11/02/2024,11/02/2024
31,4,16,Descripción de tarea D1,1,05/02/2024,06/02/2024,06/02/2024
32,4,17,Descripción de tarea D2,1,06/02/2024,07/02/2024,07/02/2024
33,4,18,Descripción de tarea D3,1,07/02/2024,08/02/2024,08/02/2024
34,4,19,Descripción de tarea D4,1,08/02/2024,09/02/2024,09/02/2024
35,4,20,Descripción de tarea D5,1,09/02/2024,10/02/2024,10/02/2024
36,4,16,Descripción de tarea D6,1,10/02/2024,11/02/2024,11/02/2024
37,4,17,Descripción de tarea D7,1,11/02/2024,12/02/2024,12/02/2024
38,4,18,Descripción de tarea D8,1,12/02/2024,13/02/2024,13/02/2024
39,4,19,Descripción de tarea D9,1,13/02/2024,14/02/2024,14/02/2024
40,4,20,Descripción de tarea D10,1,14/02/2024,15/02/2024,15/02/2024
41,5,21,Descripción de tarea E1,1,01/03/2024,02/03/2024,02/03/2024
42,5,22,Descripción de tarea E2,1,02/03/2024,03/03/2024,03/03/2024
43,5,23,Descripción de tarea E3,1,03/03/2024,04/03/2024,04/03/2024
44,5,24,Descripción de tarea E4,1,04/03/2024,05/03/2024,05/03/2024
45,5,25,Descripción de tarea E5,1,05/03/2024,06/03/2024,06/03/2024
46,5,21,Descripción de tarea E6,1,06/03/2024,07/03/2024,07/03/2024
47,5,22,Descripción de tarea E7,1,07/03/2024,08/03/2024,08/03/2024
48,5,23,Descripción de tarea E8,1,08/03/2024,09/03/2024,09/03/2024
49,5,24,Descripción de tarea E9,1,09/03/2024,10/03/2024,10/03/2024
50,5,25,Descripción de tarea E10,1,10/03/2024,11/03/2024,11/03/2024
